Season,Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2020,Regular Season,34,Sat,2020-02-22,15:00,Nott'ham Forest,0–0,QPR,28750,The City Ground,Robert Jones,Match Report,
2020,Regular Season,34,Sat,2020-02-22,15:00,Leeds United,1–0,Reading,35483,Elland Road,Jarred Gillett,Match Report,
2020,Regular Season,35,Tue,2020-02-25,19:45,Huddersfield,2–1,Bristol City,19703,The John Smith's Stadium,Robert Jones,Match Report,
2020,Regular Season,35,Tue,2020-02-25,19:45,QPR,2–1,Derby County,11669,Loftus Road Stadium,Keith Stroud,Match Report,
2020,Regular Season,35,Tue,2020-02-25,19:45,Luton Town,2–1,Brentford,10008,Kenilworth Road Stadium,Darren England,Match Report,
2020,Regular Season,35,Tue,2020-02-25,19:45,Cardiff City,0–1,Nott'ham Forest,21273,Cardiff City Stadium,Steve Martin,Match Report,
2020,Regular Season,35,Tue,2020-02-25,20:00,West Brom,2–0,Preston,22150,The Hawthorns,Kevin Friend,Match Report,
2020,Regular Season,35,Wed,2020-02-26,19:45,Blackburn,0–0,Stoke City,12343,Ewood Park,Darren Bond,Match Report,
2020,Regular Season,35,Wed,2020-02-26,19:45,Middlesbrough,0–1,Leeds United,24647,Riverside Stadium,Gavin Ward,Match Report,
2020,Regular Season,35,Wed,2020-02-26,19:45,Hull City,0–1,Barnsley,10272,Kingston Communications Stadium,David Coote,Match Report,
2020,Regular Season,35,Wed,2020-02-26,19:45,Fulham,1–0,Swansea City,17626,Craven Cottage,Tim Robinson,Match Report,
2020,Regular Season,35,Wed,2020-02-26,19:45,Sheffield Weds,1–0,Charlton Ath,21370,Hillsborough Stadium,Oliver Langford,Match Report,
2020,Regular Season,35,Wed,2020-02-26,19:45,Millwall,0–0,Birmingham City,11209,The Den,David Webb,Match Report,
2020,Regular Season,35,Wed,2020-02-26,20:00,Reading,0–3,Wigan Athletic,10088,Madejski Stadium,Geoff Eltringham,Match Report,
2020,Regular Season,36,Sat,2020-02-29,12:30,Hull City,0–4,Leeds United,16178,Kingston Communications Stadium,Keith Stroud,Match Report,
2020,Regular Season,36,Sat,2020-02-29,15:00,Sheffield Weds,1–3,Derby County,25148,Hillsborough Stadium,Dean Whitestone,Match Report,
2020,Regular Season,36,Sat,2020-02-29,15:00,West Brom,0–1,Wigan Athletic,24942,The Hawthorns,Tony Harrington,Match Report,
2020,Regular Season,36,Sat,2020-02-29,15:00,Millwall,1–1,Bristol City,13584,The Den,Andrew Davies,Match Report,
2020,Regular Season,36,Sat,2020-02-29,15:00,Luton Town,1–1,Stoke City,10070,Kenilworth Road Stadium,Andy Woolmer,Match Report,
2020,Regular Season,36,Sat,2020-02-29,15:00,Reading,2–0,Barnsley,13263,Madejski Stadium,Jeremy Simpson,Match Report,
2020,Regular Season,36,Sat,2020-02-29,15:00,QPR,2–2,Birmingham City,14113,Loftus Road Stadium,James Linington,Match Report,
2020,Regular Season,36,Sat,2020-02-29,15:00,Blackburn,2–2,Swansea City,13099,Ewood Park,Peter Bankes,Match Report,
2020,Regular Season,36,Sat,2020-02-29,15:00,Cardiff City,2–2,Brentford,22393,Cardiff City Stadium,Simon Hooper,Match Report,
2020,Regular Season,36,Sat,2020-02-29,15:00,Fulham,2–0,Preston,19020,Craven Cottage,David Webb,Match Report,
2020,Regular Season,36,Sat,2020-02-29,15:00,Huddersfield,4–0,Charlton Ath,21539,The John Smith's Stadium,Geoff Eltringham,Match Report,
2020,Regular Season,36,Mon,2020-03-02,19:45,Middlesbrough,2–2,Nott'ham Forest,18884,Riverside Stadium,Darren England,Match Report,
2020,Regular Season,37,Fri,2020-03-06,19:45,Nott'ham Forest,0–3,Millwall,27307,The City Ground,Geoff Eltringham,Match Report,
2020,Regular Season,37,Sat,2020-03-07,12:30,Bristol City,1–1,Fulham,23796,Ashton Gate Stadium,David Coote,Match Report,
2020,Regular Season,37,Sat,2020-03-07,15:00,Preston,1–3,QPR,12378,Deepdale Stadium,Dean Whitestone,Match Report,
2020,Regular Season,37,Sat,2020-03-07,15:00,Barnsley,0–2,Cardiff City,12751,Oakwell Stadium,James Linington,Match Report,
2020,Regular Season,37,Sat,2020-03-07,15:00,Charlton Ath,0–1,Middlesbrough,18080,The Valley,Steve Martin,Match Report,
2020,Regular Season,37,Sat,2020-03-07,15:00,Wigan Athletic,0–0,Luton Town,10292,The DW Stadium,Gavin Ward,Match Report,
2020,Regular Season,37,Sat,2020-03-07,15:00,Brentford,5–0,Sheffield Weds,12273,Griffin Park,Keith Stroud,Match Report,
2020,Regular Season,37,Sat,2020-03-07,15:00,Swansea City,0–0,West Brom,16788,Liberty Stadium,Robert Jones,Match Report,
2020,Regular Season,37,Sat,2020-03-07,15:00,Stoke City,5–1,Hull City,23126,Bet365 Stadium,Tim Robinson,Match Report,
2020,Regular Season,37,Sat,2020-03-07,15:00,Leeds United,2–0,Huddersfield,36514,Elland Road,Oliver Langford,Match Report,
2020,Regular Season,37,Sat,2020-03-07,15:00,Birmingham City,1–3,Reading,19525,St Andrew's Trillion Trophy Stadium,Andrew Davies,Match Report,
2020,Regular Season,37,Sun,2020-03-08,15:00,Derby County,3–0,Blackburn,26590,iPro Stadium,John Brooks,Match Report,
2020,Regular Season,38,Sat,2020-06-20,12:30,Middlesbrough,0–3,Swansea City,,Riverside Stadium,Tony Harrington,Match Report,
2020,Regular Season,38,Sat,2020-06-20,12:30,Fulham,0–2,Brentford,,Craven Cottage,James Linington,Match Report,
2020,Regular Season,38,Sat,2020-06-20,13:00,Millwall,2–3,Derby County,,The Den,Steve Martin,Match Report,
2020,Regular Season,38,Sat,2020-06-20,15:00,Huddersfield,0–2,Wigan Athletic,,The John Smith's Stadium,Jarred Gillett,Match Report,
2020,Regular Season,38,Sat,2020-06-20,15:00,Reading,1–1,Stoke City,,Madejski Stadium,Michael Salisbury,Match Report,
2020,Regular Season,38,Sat,2020-06-20,15:00,West Brom,0–0,Birmingham City,,The Hawthorns,Darren Bond,Match Report,
2020,Regular Season,38,Sat,2020-06-20,15:00,Blackburn,3–1,Bristol City,,Ewood Park,Oliver Langford,Match Report,
2020,Regular Season,38,Sat,2020-06-20,15:00,Hull City,0–1,Charlton Ath,,Kingston Communications Stadium,Darren England,Match Report,
2020,Regular Season,38,Sat,2020-06-20,15:00,Luton Town,1–1,Preston,,Kenilworth Road Stadium,John Brooks,Match Report,
2020,Regular Season,38,Sat,2020-06-20,15:00,QPR,0–1,Barnsley,,Loftus Road Stadium,Andrew Davies,Match Report,
2020,Regular Season,38,Sat,2020-06-20,15:00,Sheffield Weds,1–1,Nott'ham Forest,,Hillsborough Stadium,Robert Jones,Match Report,
2020,Regular Season,38,Sun,2020-06-21,12:00,Cardiff City,2–0,Leeds United,,Cardiff City Stadium,Andy Woolmer,Match Report,
2020,Regular Season,39,Fri,2020-06-26,19:45,Brentford,1–0,West Brom,,Griffin Park,Keith Stroud,Match Report,
2020,Regular Season,39,Sat,2020-06-27,12:30,Swansea City,0–1,Luton Town,,Liberty Stadium,Andy Woolmer,Match Report,
2020,Regular Season,39,Sat,2020-06-27,12:30,Charlton Ath,1–0,QPR,,The Valley,Tim Robinson,Match Report,
2020,Regular Season,39,Sat,2020-06-27,12:30,Preston,1–3,Cardiff City,,Deepdale Stadium,Oliver Langford,Match Report,
2020,Regular Season,39,Sat,2020-06-27,13:00,Derby County,2–1,Reading,,iPro Stadium,Scott Duncan,Match Report,
2020,Regular Season,39,Sat,2020-06-27,13:00,Barnsley,0–0,Millwall,,Oakwell Stadium,Jeremy Simpson,Match Report,
2020,Regular Season,39,Sat,2020-06-27,15:00,Leeds United,3–0,Fulham,,Elland Road,Tony Harrington,Match Report,
2020,Regular Season,39,Sat,2020-06-27,15:00,Wigan Athletic,2–0,Blackburn,,The DW Stadium,Darren England,Match Report,
2020,Regular Season,39,Sat,2020-06-27,15:00,Birmingham City,3–3,Hull City,,St Andrew's Trillion Trophy Stadium,Dean Whitestone,Match Report,
2020,Regular Season,39,Sat,2020-06-27,15:00,Stoke City,0–2,Middlesbrough,,Bet365 Stadium,Matt Donohue,Match Report,
2020,Regular Season,39,Sun,2020-06-28,12:00,Bristol City,1–2,Sheffield Weds,,Ashton Gate Stadium,John Brooks,Match Report,
2020,Regular Season,39,Sun,2020-06-28,14:15,Nott'ham Forest,3–1,Huddersfield,,The City Ground,David Webb,Match Report,
2020,Regular Season,40,Tue,2020-06-30,17:00,Millwall,1–1,Swansea City,,The Den,James Linington,Match Report,
2020,Regular Season,40,Tue,2020-06-30,18:00,Cardiff City,0–0,Charlton Ath,,Cardiff City Stadium,Steve Martin,Match Report,
2020,Regular Season,40,Tue,2020-06-30,18:00,Barnsley,2–0,Blackburn,,Oakwell Stadium,Tony Harrington,Match Report,
2020,Regular Season,40,Tue,2020-06-30,18:00,Reading,0–3,Brentford,,Madejski Stadium,Dean Whitestone,Match Report,
2020,Regular Season,40,Tue,2020-06-30,18:30,QPR,1–2,Fulham,,Loftus Road Stadium,Gavin Ward,Match Report,
2020,Regular Season,40,Tue,2020-06-30,19:45,Leeds United,1–1,Luton Town,,Elland Road,John Brooks,Match Report,
2020,Regular Season,40,Tue,2020-06-30,19:45,Wigan Athletic,3–0,Stoke City,,The DW Stadium,Jeremy Simpson,Match Report,
2020,Regular Season,40,Wed,2020-07-01,17:00,Preston,0–1,Derby County,,Deepdale Stadium,Jarred Gillett,Match Report,
2020,Regular Season,40,Wed,2020-07-01,18:00,Birmingham City,0–3,Huddersfield,,St Andrew's Trillion Trophy Stadium,Robert Jones,Match Report,
2020,Regular Season,40,Wed,2020-07-01,18:00,Nott'ham Forest,1–0,Bristol City,,The City Ground,Darren Bond,Match Report,
2020,Regular Season,40,Wed,2020-07-01,19:45,Sheffield Weds,0–3,West Brom,,Hillsborough Stadium,David Webb,Match Report,
2020,Regular Season,40,Thu,2020-07-02,17:00,Hull City,2–1,Middlesbrough,,Kingston Communications Stadium,Geoff Eltringham,Match Report,
2020,Regular Season,41,Fri,2020-07-03,20:15,Charlton Ath,0–1,Millwall,,The Valley,Dean Whitestone,Match Report,
2020,Regular Season,41,Sat,2020-07-04,12:30,Derby County,1–1,Nott'ham Forest,,iPro Stadium,Darren England,Match Report,
2020,Regular Season,41,Sat,2020-07-04,15:00,Bristol City,0–1,Cardiff City,,Ashton Gate Stadium,Tim Robinson,Match Report,
2020,Regular Season,41,Sat,2020-07-04,15:00,Stoke City,4–0,Barnsley,,Bet365 Stadium,Andy Woolmer,Match Report,
2020,Regular Season,41,Sat,2020-07-04,15:00,Fulham,1–0,Birmingham City,,Craven Cottage,Keith Stroud,Match Report,
2020,Regular Season,41,Sat,2020-07-04,15:00,Huddersfield,0–0,Preston,,The John Smith's Stadium,Darren Bond,Match Report,
2020,Regular Season,41,Sat,2020-07-04,15:00,Brentford,3–0,Wigan Athletic,,Griffin Park,Matt Donohue,Match Report,
2020,Regular Season,41,Sat,2020-07-04,15:00,Blackburn,1–3,Leeds United,,Ewood Park,Robert Jones,Match Report,
2020,Regular Season,41,Sat,2020-07-04,15:00,Luton Town,0–5,Reading,,Kenilworth Road Stadium,James Linington,Match Report,
2020,Regular Season,41,Sun,2020-07-05,12:00,Swansea City,2–1,Sheffield Weds,,Liberty Stadium,Steve Martin,Match Report,
2020,Regular Season,41,Sun,2020-07-05,14:00,Middlesbrough,0–1,QPR,,Riverside Stadium,Scott Duncan,Match Report,
2020,Regular Season,41,Sun,2020-07-05,15:00,West Brom,4–2,Hull City,,The Hawthorns,Oliver Langford,Match Report,
2020,Regular Season,42,Tue,2020-07-07,17:00,Nott'ham Forest,0–1,Fulham,,The City Ground,Robert Jones,Match Report,
2020,Regular Season,42,Tue,2020-07-07,18:00,Reading,0–0,Huddersfield,,Madejski Stadium,Steve Martin,Match Report,
2020,Regular Season,42,Tue,2020-07-07,18:00,Luton Town,1–1,Barnsley,,Kenilworth Road Stadium,Dean Whitestone,Match Report,
2020,Regular Season,42,Tue,2020-07-07,18:00,Brentford,2–1,Charlton Ath,,Griffin Park,John Brooks,Match Report,
2020,Regular Season,42,Tue,2020-07-07,19:45,Cardiff City,2–3,Blackburn,,Cardiff City Stadium,Matt Donohue,Match Report,
2020,Regular Season,42,Wed,2020-07-08,15:00,Millwall,0–2,Middlesbrough,,The Den,Tim Robinson,Match Report,
2020,Regular Season,42,Wed,2020-07-08,17:00,West Brom,2–0,Derby County,,The Hawthorns,Jeremy Simpson,Match Report,
2020,Regular Season,42,Wed,2020-07-08,18:00,Wigan Athletic,1–0,QPR,,The DW Stadium,Geoff Eltringham,Match Report,
2020,Regular Season,42,Wed,2020-07-08,18:00,Bristol City,2–1,Hull City,,Ashton Gate Stadium,Gavin Ward,Match Report,
2020,Regular Season,42,Wed,2020-07-08,18:00,Birmingham City,1–3,Swansea City,,St Andrew's Trillion Trophy Stadium,Jarred Gillett,Match Report,
2020,Regular Season,42,Wed,2020-07-08,19:45,Sheffield Weds,1–3,Preston,,Hillsborough Stadium,Tony Harrington,Match Report,
2020,Regular Season,42,Thu,2020-07-09,17:00,Leeds United,5–0,Stoke City,,Elland Road,Darren Bond,Match Report,
2020,Regular Season,43,Fri,2020-07-10,18:00,Huddersfield,0–2,Luton Town,,The John Smith's Stadium,Geoff Eltringham,Match Report,
2020,Regular Season,43,Fri,2020-07-10,20:15,Fulham,2–0,Cardiff City,,Craven Cottage,Gavin Ward,Match Report,
2020,Regular Season,43,Sat,2020-07-11,12:30,Derby County,1–3,Brentford,,iPro Stadium,Tim Robinson,Match Report,
2020,Regular Season,43,Sat,2020-07-11,12:30,Charlton Ath,0–1,Reading,,The Valley,Darren Bond,Match Report,
2020,Regular Season,43,Sat,2020-07-11,15:00,QPR,0–3,Sheffield Weds,,Loftus Road Stadium,Oliver Langford,Match Report,
2020,Regular Season,43,Sat,2020-07-11,15:00,Blackburn,1–1,West Brom,,Ewood Park,Jarred Gillett,Match Report,
2020,Regular Season,43,Sat,2020-07-11,15:00,Middlesbrough,1–3,Bristol City,,Riverside Stadium,Darren England,Match Report,
2020,Regular Season,43,Sat,2020-07-11,15:00,Barnsley,0–0,Wigan Athletic,,Oakwell Stadium,David Webb,Match Report,
2020,Regular Season,43,Sat,2020-07-11,15:00,Preston,1–1,Nott'ham Forest,,Deepdale Stadium,Jeremy Simpson,Match Report,
2020,Regular Season,43,Sat,2020-07-11,15:00,Hull City,0–1,Millwall,,Kingston Communications Stadium,Matt Donohue,Match Report,
2020,Regular Season,43,Sun,2020-07-12,13:30,Stoke City,2–0,Birmingham City,,Bet365 Stadium,Scott Duncan,Match Report,
2020,Regular Season,43,Sun,2020-07-12,13:30,Swansea City,0–1,Leeds United,,Liberty Stadium,Keith Stroud,Match Report,
2020,Regular Season,44,Tue,2020-07-14,17:00,West Brom,0–0,Fulham,,The Hawthorns,Geoff Eltringham,Match Report,
2020,Regular Season,44,Tue,2020-07-14,18:00,Reading,1–2,Middlesbrough,,Madejski Stadium,Andy Woolmer,Match Report,
2020,Regular Season,44,Tue,2020-07-14,18:00,Wigan Athletic,8–0,Hull City,,The DW Stadium,Tony Harrington,Match Report,
2020,Regular Season,44,Tue,2020-07-14,19:45,Luton Town,1–1,QPR,,Kenilworth Road Stadium,Steve Martin,Match Report,
2020,Regular Season,44,Tue,2020-07-14,19:45,Cardiff City,2–1,Derby County,,Cardiff City Stadium,Darren Bond,Match Report,
2020,Regular Season,44,Tue,2020-07-14,19:45,Millwall,1–0,Blackburn,,The Den,John Brooks,Match Report,
2020,Regular Season,44,Tue,2020-07-14,19:45,Sheffield Weds,0–0,Huddersfield,,Hillsborough Stadium,Dean Whitestone,Match Report,
2020,Regular Season,44,Wed,2020-07-15,17:00,Bristol City,1–1,Stoke City,,Ashton Gate Stadium,James Linington,Match Report,
2020,Regular Season,44,Wed,2020-07-15,17:00,Brentford,1–0,Preston,,Griffin Park,Darren England,Match Report,
2020,Regular Season,44,Wed,2020-07-15,18:00,Birmingham City,1–1,Charlton Ath,,St Andrew's Trillion Trophy Stadium,David Webb,Match Report,
2020,Regular Season,44,Wed,2020-07-15,18:00,Nott'ham Forest,2–2,Swansea City,,The City Ground,Oliver Langford,Match Report,
2020,Regular Season,44,Thu,2020-07-16,17:00,Leeds United,1–0,Barnsley,,Elland Road,Jarred Gillett,Match Report,
2020,Regular Season,45,Fri,2020-07-17,17:30,Huddersfield,2–1,West Brom,,The John Smith's Stadium,John Brooks,Match Report,
2020,Regular Season,45,Sat,2020-07-18,12:30,Charlton Ath,2–2,Wigan Athletic,,The Valley,Gavin Ward,Match Report,
2020,Regular Season,45,Sat,2020-07-18,12:30,Stoke City,1–0,Brentford,,Bet365 Stadium,Geoff Eltringham,Match Report,
2020,Regular Season,45,Sat,2020-07-18,15:00,Middlesbrough,1–3,Cardiff City,,Riverside Stadium,Jeremy Simpson,Match Report,
2020,Regular Season,45,Sat,2020-07-18,15:00,Blackburn,4–3,Reading,,Ewood Park,Tim Robinson,Match Report,
2020,Regular Season,45,Sat,2020-07-18,15:00,Hull City,0–1,Luton Town,,Kingston Communications Stadium,Robert Jones,Match Report,
2020,Regular Season,45,Sat,2020-07-18,15:00,Preston,2–0,Birmingham City,,Deepdale Stadium,Steve Martin,Match Report,
2020,Regular Season,45,Sat,2020-07-18,15:00,Swansea City,1–0,Bristol City,,Liberty Stadium,Darren Bond,Match Report,
2020,Regular Season,45,Sat,2020-07-18,15:00,QPR,4–3,Millwall,,Loftus Road Stadium,James Linington,Match Report,
2020,Regular Season,45,Sat,2020-07-18,15:00,Fulham,5–3,Sheffield Weds,,Craven Cottage,Darren England,Match Report,
2020,Regular Season,45,Sun,2020-07-19,14:00,Derby County,1–3,Leeds United,,iPro Stadium,Oliver Langford,Match Report,
2020,Regular Season,45,Sun,2020-07-19,15:00,Barnsley,1–0,Nott'ham Forest,,Oakwell Stadium,Scott Duncan,Match Report,
2020,Regular Season,46,Wed,2020-07-22,19:30,Luton Town,3–2,Blackburn,,Kenilworth Road Stadium,Darren Bond,Match Report,
2020,Regular Season,46,Wed,2020-07-22,19:30,Sheffield Weds,1–2,Middlesbrough,,Hillsborough Stadium,Jarred Gillett,Match Report,
2020,Regular Season,46,Wed,2020-07-22,19:30,Millwall,4–1,Huddersfield,,The Den,Keith Stroud,Match Report,
2020,Regular Season,46,Wed,2020-07-22,19:30,Brentford,1–2,Barnsley,,Griffin Park,Robert Jones,Match Report,
2020,Regular Season,46,Wed,2020-07-22,19:30,Cardiff City,3–0,Hull City,,Cardiff City Stadium,James Linington,Match Report,
2020,Regular Season,46,Wed,2020-07-22,19:30,West Brom,2–2,QPR,,The Hawthorns,Darren England,Match Report,
2020,Regular Season,46,Wed,2020-07-22,19:30,Bristol City,1–1,Preston,,Ashton Gate Stadium,Andy Woolmer,Match Report,
2020,Regular Season,46,Wed,2020-07-22,19:30,Leeds United,4–0,Charlton Ath,,Elland Road,Geoff Eltringham,Match Report,
2020,Regular Season,46,Wed,2020-07-22,19:30,Birmingham City,1–3,Derby County,,St Andrew's Trillion Trophy Stadium,Tim Robinson,Match Report,
2020,Regular Season,46,Wed,2020-07-22,19:30,Reading,1–4,Swansea City,,Madejski Stadium,Steve Martin,Match Report,
2020,Regular Season,46,Wed,2020-07-22,19:30,Nott'ham Forest,1–4,Stoke City,,The City Ground,Gavin Ward,Match Report,
2020,Regular Season,46,Wed,2020-07-22,19:30,Wigan Athletic,1–1,Fulham,,The DW Stadium,John Brooks,Match Report,
2020,Semi-finals,,Sun,2020-07-26,18:30,Swansea City,1–0,Brentford,,Liberty Stadium,Keith Stroud,Match Report,Leg 1 of 2
2020,Semi-finals,,Mon,2020-07-27,19:45,Cardiff City,0–2,Fulham,,Cardiff City Stadium,Geoff Eltringham,Match Report,Leg 1 of 2
2020,Semi-finals,,Wed,2020-07-29,19:45,Brentford,3–1,Swansea City,,Griffin Park,Chris Kavanagh,Match Report,Leg 2 of 2; Brentford won
2020,Semi-finals,,Thu,2020-07-30,19:45,Fulham,1–2,Cardiff City,,Craven Cottage,Paul Tierney,Match Report,Leg 2 of 2; Fulham won
2020,Final,,Tue,2020-08-04,19:45,Brentford,1–2,Fulham,,Wembley Stadium (Neutral Site),Martin Atkinson,Match Report,Required Extra Time
